,GEOID,population,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,eviction-rate,score,raw_score,percentage_vacant_housing_units,percent_college_educated,snaps_percentage,percent_poverty,rent_to_income_ratio,unemployment_rate
0,390017701001,1242.0,28.98,522.0,24063.0,83300.0,44.8,1.94,D,0.249,5.75916230366492,11.1241217798595,39.0151515151515,,16.8058845530482,8.6
1,390017701002,1574.0,39.32,624.0,30179.0,92200.0,36.9,3.17,D,0.252,7.81010719754977,13.7327188940092,31.1864406779661,,17.1377447894231,8.6
2,390017701003,1133.0,38.6,567.0,37472.0,84400.0,29.6,6.12,D,0.233,11.900826446281,11.4321608040201,26.3157894736842,,14.5708795900939,8.6
3,390017701004,750.0,13.53,873.0,34659.0,46000.0,26.4,1.28,D,0.257,11.3259668508287,5.01002004008016,15.1815181518152,,15.0956461525145,8.6
4,390017702001,1803.0,9.25,757.0,40972.0,129500.0,46.4,1.03,C,0.446,13.5785007072136,13.121434392828,17.9794520547945,,16.3135800058577,11.5
5,390017702002,1038.0,11.48,,46250.0,138300.0,,2.67,C,0.461,15.6626506024096,15.8322056833559,26.530612244898,,,11.5
6,390017702003,1020.0,41.62,621.0,37917.0,83300.0,28.2,3.35,D,0.215,21.4,8.7378640776699,23.2432432432432,,13.2288946910357,11.5
7,390017702004,1105.0,41.56,595.0,24219.0,87200.0,37.2,0.56,D,0.203,6.09756097560976,8.04093567251462,34.025974025974,,20.9092035178992,11.5
8,390017703001,1422.0,32.94,777.0,37167.0,89700.0,31.1,0.0,C,0.452,0.0,12.3304562268804,7.71028037383178,,16.5953668576963,8.8
9,390017703002,2045.0,22.3,556.0,33730.0,120500.0,22.1,0.48,D,0.173,10.7142857142857,7.72908366533865,22.5675675675676,,15.7248739994071,8.8
10,390017703003,1808.0,26.01,908.0,50781.0,104100.0,33.0,2.3,C,0.564,0.0,10.9822119102862,15.3179190751445,,8.86158208778874,8.8
11,390017703004,1744.0,29.72,381.0,53780.0,74900.0,20.7,1.83,D,0.092,2.45901639344262,10.9640831758034,24.3021346469622,,,8.8
12,390017704001,625.0,27.86,914.0,40732.0,87500.0,43.1,1.92,C,0.640,0.0,8.24295010845987,11.8320610687023,,16.4097024452519,9.0
13,390017704002,1419.0,41.89,519.0,23924.0,78700.0,36.3,5.56,D,0.156,0.0,11.2167300380228,25.3477588871716,,21.6184584517639,9.0
14,390017704003,893.0,39.51,461.0,39464.0,83100.0,50.0,2.81,D,0.150,14.4787644787645,12.6329787234043,20.0,,12.8623555645652,9.0
15,390017704004,1760.0,54.55,,33026.0,95500.0,29.9,2.08,D,0.168,14.0625,9.23076923076923,27.8181818181818,,9.66511233573548,9.0
16,390017705001,1193.0,20.51,436.0,28750.0,96100.0,47.9,2.84,D,0.101,18.1954887218045,5.12540894220284,31.4453125,,14.0660869565217,9.7
17,390017705002,1376.0,30.74,538.0,33778.0,50700.0,50.0,1.42,D,0.164,10.0486223662885,7.46268656716418,28.0834914611006,,12.2564983125111,9.7
18,390017705003,732.0,27.45,464.0,40781.0,66800.0,39.2,0.0,D,0.121,4.25531914893617,3.03605313092979,27.4509803921569,,8.18028003236801,9.7
19,390017706001,657.0,40.71,629.0,23250.0,113100.0,48.2,1.11,D,0.148,6.16740088105727,9.6958174904943,25.6830601092896,,23.8967741935484,10.4
20,390017706002,1882.0,41.54,535.0,29455.0,65400.0,38.9,2.59,D,0.115,13.9198218262806,9.09090909090909,38.8335704125178,,14.8701408928875,10.4
21,390017706003,1008.0,12.41,706.0,50625.0,111100.0,23.1,3.03,C,0.451,16.260162601626,22.1322537112011,15.1898734177215,,12.0177777777778,10.4
22,390030101001,1707.0,23.75,743.0,75330.0,154200.0,24.8,0.94,B,0.858,0.0,53.8624338624339,1.25,,9.78096375945838,1.1
23,390030101002,1282.0,16.7,583.0,65625.0,149300.0,50.0,0.45,B,0.828,4.24710424710425,52.8898582333697,2.11416490486258,,9.43542857142857,1.1
24,390030101003,1444.0,35.92,551.0,44766.0,121600.0,30.7,0.55,C,0.410,10.1515151515152,28.7810383747178,14.3338954468803,,10.9100656748425,1.1
25,390030102001,710.0,13.61,689.0,47353.0,92600.0,29.4,1.45,C,0.433,6.41399416909621,6.56934306569343,10.4430379746835,,13.5070639663802,3.1
26,390030102002,916.0,10.96,,69853.0,160500.0,50.0,2.63,B,0.836,5.57029177718833,31.6251830161054,3.08988764044944,,,3.1
27,390030102003,1017.0,4.66,,62143.0,125600.0,,0.0,B,0.689,6.12244897959184,21.2264150943396,7.14285714285714,,,3.1
28,390030102004,1462.0,19.44,784.0,46290.0,98200.0,29.8,1.11,C,0.562,1.36986301369863,16.4915966386555,3.57142857142857,,13.7653920933247,3.1
29,390030103001,856.0,12.42,831.0,63077.0,152500.0,37.5,0.0,C,0.438,12.0218579234973,9.81067125645439,9.62732919254658,,11.7760831998985,5.0
30,390030103002,677.0,14.34,900.0,65284.0,124100.0,26.9,0.0,B,0.678,0.0,6.86868686868687,6.09318996415771,,9.96262483916427,5.0
31,390030106001,1112.0,25.3,742.0,34760.0,92600.0,36.1,5.32,C,0.346,9.61538461538462,10.0456621004566,18.6761229314421,,17.4683544303797,3.9
32,390030106002,1329.0,12.86,1018.0,68646.0,168100.0,25.7,0.0,B,0.836,10.5839416058394,17.0258620689655,5.91836734693878,,13.3379949305131,3.9
33,390030106003,1423.0,12.47,718.0,64028.0,117900.0,49.0,1.22,C,0.550,1.01214574898785,24.3488108720272,10.6339468302658,,9.65202723808334,3.9
34,390030106004,1188.0,26.42,448.0,42446.0,73200.0,24.2,2.13,D,0.305,11.244019138756,12.4153498871332,12.6684636118598,,10.7147905574141,3.9
35,390030108001,1419.0,23.43,789.0,49875.0,96800.0,36.4,0.99,C,0.464,6.44567219152855,16.0893854748603,7.8740157480315,,13.0406015037594,2.4
36,390030108002,514.0,33.18,612.0,54615.0,112500.0,20.5,0.0,C,0.325,18.6311787072243,6.86567164179105,0.0,,11.337544630596,2.4
37,390030108003,2135.0,8.83,707.0,79901.0,144100.0,18.4,0.0,B,0.845,0.0,28.5121107266436,0.0,,8.09501758426052,2.4
38,390030108004,1159.0,15.13,536.0,60259.0,154900.0,35.9,0.0,C,0.549,0.0,18.3257918552036,0.0,,10.1362452081847,2.4
39,390030108005,1004.0,36.65,1046.0,47095.0,115800.0,40.8,1.1,B,0.763,0.0,16.4490861618799,3.60169491525424,,21.7347913791273,2.4
40,390030108006,1442.0,7.35,,106227.0,257000.0,,4.0,A,0.982,7.1969696969697,46.711259754738,2.44897959183673,,,2.4
41,390030109001,1822.0,17.0,957.0,67159.0,105700.0,25.1,7.55,B,0.858,0.0,12.8991060025543,2.46305418719212,,14.9912893283104,6.6
42,390030109002,1163.0,52.79,767.0,52838.0,130800.0,20.8,0.0,C,0.610,1.61870503597122,29.1348600508906,11.3382899628253,,13.3313145842008,6.6
43,390030109003,1811.0,49.48,827.0,38015.0,124300.0,33.0,1.54,B,0.693,10.7549120992761,18.8679245283019,4.8667439165701,,20.7076154149678,6.6
44,390030110001,1352.0,0.0,,51146.0,92400.0,,2.63,C,0.560,0.0,9.96948118006104,11.3785557986871,,,5.6
45,390030110002,1840.0,84.47,694.0,,119900.0,41.6,3.46,C,0.478,6.00272851296044,10.5726872246696,16.255442670537,,,5.6
46,390030110003,1269.0,83.15,609.0,21719.0,88300.0,33.3,0.85,D,0.224,0.0,8.56807511737089,24.3369734789392,,27.2388231502371,5.6
47,390030110004,1335.0,39.86,656.0,35357.0,108000.0,27.9,0.99,C,0.427,7.30117340286832,14.1980718667835,2.60869565217391,,16.4946120994428,5.6
48,390030112001,1519.0,100.0,,,,,0.0,B,0.898,0.0,4.75852272727273,0.0,,,4.4
49,390030112002,1116.0,18.78,570.0,38936.0,73600.0,25.8,4.31,D,0.210,16.6959578207381,7.52427184466019,10.9704641350211,,13.1908773371687,4.4
50,390030113001,1395.0,11.81,,53099.0,136500.0,,5.0,B,0.748,0.0,11.8246687054027,5.18783542039356,,,1.7
51,390030113002,2405.0,29.15,701.0,46503.0,127500.0,16.1,5.26,C,0.457,18.3564567769477,18.4478371501272,12.9411764705882,,12.2830785110638,1.7
52,390030113003,1235.0,15.18,,56136.0,138600.0,,4.55,B,0.730,13.963963963964,34.0659340659341,3.92670157068063,,,1.7
53,390030113004,1701.0,10.49,483.0,60288.0,129600.0,13.3,0.0,C,0.635,7.15166461159063,24.8480243161094,0.0,,8.61863057324841,1.7
54,390030113005,683.0,22.64,824.0,33500.0,31100.0,14.6,1.83,C,0.650,5.14541387024608,10.2819237147595,10.6132075471698,,20.8119402985075,1.7
55,390030114001,1366.0,5.66,,68875.0,187300.0,,3.23,B,0.884,8.79541108986616,19.5071868583162,2.72536687631027,,,2.6
56,390030114002,1622.0,10.71,708.0,52232.0,134400.0,24.2,0.0,C,0.641,3.486529318542,14.5574855252275,8.40197693574959,,11.9926481850207,2.6
57,390030115001,1819.0,14.22,643.0,47500.0,121300.0,50.0,0.0,C,0.488,6.9701280227596,14.0319715808171,21.1009174311927,,11.1915789473684,8.5
58,390030115002,929.0,16.39,558.0,45150.0,82400.0,21.3,0.0,D,0.234,7.71604938271605,9.72222222222222,18.0602006688963,,10.8970099667774,8.5
59,390030116001,1178.0,22.57,375.0,28795.0,,32.2,1.72,C,0.399,9.42492012779553,10.6710671067107,9.34744268077601,,14.5025177982289,10.5
60,390030116002,837.0,14.79,783.0,57250.0,138300.0,50.0,0.0,C,0.566,9.20398009950249,13.1979695431472,2.46575342465753,,13.0375545851528,10.5
61,390030116003,753.0,5.47,,66146.0,149400.0,,0.0,B,0.765,5.53505535055351,22.0502901353965,0.0,,,10.5
62,390030118001,1247.0,11.25,1129.0,65583.0,87900.0,21.4,1.11,C,0.566,6.6147859922179,17.5219023779725,3.95833333333333,,11.5639723708888,1.0
63,390030118002,1359.0,29.93,542.0,72500.0,160000.0,14.2,2.26,B,0.842,7.6158940397351,45.5769230769231,2.8673835125448,,7.72965517241379,1.0
64,390030119001,1008.0,29.38,841.0,37115.0,119800.0,41.4,9.3,C,0.401,11.4155251141553,11.0691823899371,22.1649484536082,,21.6624006466388,9.4
65,390030119002,468.0,2.41,,37552.0,92300.0,,2.56,D,0.264,13.2404181184669,9.06801007556675,2.40963855421687,,,9.4
66,390030119003,1106.0,27.23,777.0,52792.0,109000.0,28.1,3.21,C,0.364,12.4260355029586,17.2099087353325,14.6453089244851,,15.206849522655,9.4
67,390030119004,443.0,5.21,,49750.0,100800.0,,30.43,C,0.550,0.0,14.9584487534626,10.9375,,,9.4
68,390030120001,1216.0,0.0,,88295.0,179300.0,,0.0,B,0.911,12.1031746031746,45.048309178744,0.0,,,0.6
69,390030120002,1027.0,3.49,,60694.0,155400.0,,3.13,B,0.840,4.08560311284047,34.093637454982,3.08008213552361,,,0.6
70,390030121001,2317.0,15.53,869.0,64250.0,140000.0,41.4,1.21,B,0.814,0.0,26.9891788669637,5.13966480446927,,13.7089494163424,5.0
71,390030121002,1150.0,5.91,781.0,70962.0,158200.0,32.2,2.44,C,0.595,13.0620985010707,31.203007518797,3.94088669950739,,9.82497674811871,5.0
72,390030122001,1201.0,39.76,,32531.0,77700.0,50.0,3.51,D,0.166,16.6666666666667,17.7083333333333,37.8313253012048,,,8.2
73,390030122002,2358.0,54.7,655.0,29554.0,74000.0,29.9,1.58,D,0.222,8.05825242718447,13.933236574746,26.3991552270327,,20.6672531637003,8.2
74,390030123001,1543.0,54.18,579.0,30568.0,54700.0,27.8,4.94,D,0.155,14.1831238779174,15.3072625698324,16.5271966527197,,17.5477623658728,8.1
75,390030123002,1308.0,36.42,704.0,34276.0,53300.0,27.3,4.23,D,0.116,13.3333333333333,3.42298288508557,30.6584362139918,,14.9842455362353,8.1
76,390030123003,1004.0,17.7,1061.0,48750.0,67400.0,50.0,0.0,C,0.455,7.07456978967495,13.8310893512852,14.40329218107,,16.8861538461538,8.1
77,390030124001,978.0,78.74,624.0,15926.0,53800.0,29.5,3.63,D,0.136,7.55939524838013,1.5625,45.5607476635514,,43.4760768554565,13.5
78,390030124002,1156.0,59.63,693.0,29509.0,61500.0,32.4,5.73,D,0.108,3.56234096692112,2.39234449760766,50.6596306068602,,17.8521806906368,13.5
79,390030124003,496.0,75.71,479.0,16310.0,32900.0,50.0,8.47,F,0.039,39.8963730569948,0.0,50.0,,26.1189454322502,13.5
80,390030126001,895.0,37.78,722.0,40882.0,57700.0,22.5,6.54,D,0.243,23.2409381663113,6.74157303370786,10.2777777777778,,17.6116628344993,12.9
