GEOID,unemployment_rate
390017701001,8.6
390017701002,8.6
390017701003,8.6
390017701004,8.6
390017702001,11.5
390017702002,11.5
390017702003,11.5
390017702004,11.5
390017703001,8.8
390017703002,8.8
390017703003,8.8
390017703004,8.8
390017704001,9.0
390017704002,9.0
390017704003,9.0
390017704004,9.0
390017705001,9.7
390017705002,9.7
390017705003,9.7
390017706001,10.4
390017706002,10.4
390017706003,10.4
390030101001,1.1
390030101002,1.1
390030101003,1.1
390030102001,3.1
390030102002,3.1
390030102003,3.1
390030102004,3.1
390030103001,5.0
390030103002,5.0
390030106001,3.9
390030106002,3.9
390030106003,3.9
390030106004,3.9
390030108001,2.4
390030108002,2.4
390030108003,2.4
390030108004,2.4
390030108005,2.4
390030108006,2.4
390030109001,6.6
390030109002,6.6
390030109003,6.6
390030110001,5.6
390030110002,5.6
390030110003,5.6
390030110004,5.6
390030112001,4.4
390030112002,4.4
390030113001,1.7
390030113002,1.7
390030113003,1.7
390030113004,1.7
390030113005,1.7
390030114001,2.6
390030114002,2.6
390030115001,8.5
390030115002,8.5
390030116001,10.5
390030116002,10.5
390030116003,10.5
390030118001,1.0
390030118002,1.0
390030119001,9.4
390030119002,9.4
390030119003,9.4
390030119004,9.4
390030120001,0.6
390030120002,0.6
390030121001,5.0
390030121002,5.0
390030122001,8.2
390030122002,8.2
390030123001,8.1
390030123002,8.1
390030123003,8.1
390030124001,13.5
390030124002,13.5
390030124003,13.5
390030126001,12.9
390030126002,12.9
390030127001,15.4
390030127002,15.4
390030129001,9.9
390030129002,9.9
390030130001,13.4
390030130002,13.4
390030130003,13.4
390030130004,13.4
390030131001,6.0
390030131002,6.0
390030132001,11.4
390030132002,11.4
390030133001,8.9
390030133002,8.9
390030134001,8.3
390030134002,8.3
390030134003,8.3
390030134004,8.3
390030136001,13.6
390030137001,16.0
390030138001,19.4
390030138002,19.4
390030138003,19.4
390030139001,3.7
390030139002,3.7
390030139003,3.7
390030140001,4.6
390030140002,4.6
390030140003,4.6
390030141001,22.3
390030141002,22.3
390030141003,22.3
390059701001,4.0
390059701002,4.0
390059701003,4.0
390059701004,4.0
390059702001,4.6
390059702002,4.6
390059702003,4.6
390059702004,4.6
390059703001,4.5
390059703002,4.5
390059703003,4.5
390059703004,4.5
390059704001,2.6
390059704002,2.6
390059704003,2.6
390059704004,2.6
390059705001,9.1
390059705002,9.1
390059705003,9.1
390059705004,9.1
390059706001,4.4
390059706002,4.4
390059706003,4.4
390059706004,4.4
390059707001,2.1
390059707002,2.1
390059707003,2.1
390059707004,2.1
390059708001,5.1
390059708002,5.1
390059708003,5.1
390059708004,5.1
390059709001,4.5
390059709002,4.5
390059709003,4.5
390059709004,4.5
390059710001,6.5
390059710002,6.5
390059710003,6.5
390059710004,6.5
390059711001,7.0
390059711002,7.0
390059711003,7.0
390059711004,7.0
390070001011,5.8
390070001012,5.8
390070001013,5.8
390070001021,10.0
390070001022,10.0
390070001023,10.0
390070001024,10.0
390070001025,10.0
390070001031,19.4
390070001032,19.4
390070001033,19.4
390070001034,19.4
390070001035,19.4
390070002001,2.3
390070002002,2.3
390070002003,2.3
390070002004,2.3
390070003001,8.1
390070003002,8.1
390070004001,13.3
390070004002,13.3
